Gender;Umur;Jurusan/Program Studi;Jam Belajar per Hari;Jam Tidur per Hari;IPK;Jumlah Tugas Besar per Minggu;Frekuensi Olahraga;Pemasukan Keluarga;Status Hubungan;Label
Laki-laki;20;Ekonomi;2;9;0,171527778;1;Kadang;Sedang;Dalam hubungan;Sehat
Perempuan;21;Hukum;7;7;02.16;1;Sering;Sedang;Dalam hubungan;Sehat
Perempuan;20;Hukum;7;6;02.18;0;Jarang;Sedang;Jomblo;Risiko Stres
Perempuan;25;Psikologi;4;9;0,142361111;3;Kadang;Tinggi;Dalam hubungan;Sehat
Laki-laki;23;Kedokteran;7;8;02.27;1;Kadang;Tinggi;Jomblo;Sehat
Laki-laki;19;Teknik Informatika;6;3;0,182638889;1;Kadang;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;18;Ekonomi;7;9;0,148611111;2;Kadang;Tinggi;Jomblo;Sehat
Laki-laki;23;Teknik Informatika;4;5;03.14;2;Kadang;Tinggi;Jomblo;Sehat
Laki-laki;19;Hukum;7;9;0,184722222;1;Sering;Sedang;Jomblo;Sehat
Laki-laki;22;Teknik Informatika;6;7;03.06;0;Sering;Tinggi;Jomblo;Sehat
Laki-laki;24;Ekonomi;5;7;0,132638889;2;Sering;Rendah;Dalam hubungan;Sehat
Perempuan;21;Kedokteran;2;7;03.59;1;Sering;Tinggi;Dalam hubungan;Sehat
Perempuan;25;Psikologi;6;8;0,145138889;3;Kadang;Sedang;Dalam hubungan;Sehat
Perempuan;20;Sistem Informasi;4;9;0,127777778;2;Kadang;Sedang;Jomblo;Sehat
Laki-laki;22;Teknik Informatika;2;9;03.45;1;Jarang;Rendah;Jomblo;Sehat
Laki-laki;20;Sistem Informasi;2;4;03.06;4;Jarang;Rendah;Jomblo;Risiko Stres
Laki-laki;23;Hukum;4;8;03.58;2;Sering;Tinggi;Jomblo;Sehat
Laki-laki;18;Psikologi;1;3;0,191666667;4;Kadang;Rendah;Jomblo;Risiko Stres
Laki-laki;18;Desain Komunikasi Visual;7;3;03.57;2;Jarang;Rendah;Jomblo;Risiko Stres
Perempuan;18;Psikologi;6;3;03.54;2;Jarang;Sedang;Jomblo;Risiko Stres
Perempuan;25;Teknik Informatika;4;3;0,174305556;5;Jarang;Sedang;Dalam hubungan;Risiko Stres
Laki-laki;20;Kedokteran;5;3;02.00;5;Jarang;Tinggi;Jomblo;Risiko Stres
Laki-laki;22;Psikologi;3;6;0,133333333;4;Sering;Tinggi;Dalam hubungan;Sehat
Laki-laki;18;Teknik Informatika;4;7;03.48;0;Kadang;Tinggi;Dalam hubungan;Sehat
Laki-laki;22;Teknik Informatika;7;8;03.02;1;Sering;Tinggi;Jomblo;Sehat
Perempuan;20;Sistem Informasi;7;6;02.36;0;Jarang;Sedang;Jomblo;Risiko Stres
Laki-laki;25;Psikologi;2;8;0,125694444;0;Jarang;Tinggi;Jomblo;Sehat
Laki-laki;23;Teknik Informatika;2;4;0,129861111;5;Kadang;Tinggi;Jomblo;Risiko Stres
Laki-laki;25;Sistem Informasi;4;9;03.14;1;Kadang;Rendah;Dalam hubungan;Sehat
Laki-laki;22;Ekonomi;3;5;0,170833333;5;Sering;Tinggi;Jomblo;Sehat
Perempuan;25;Desain Komunikasi Visual;4;7;0,184722222;5;Kadang;Rendah;Dalam hubungan;Sehat
Laki-laki;25;Sistem Informasi;3;4;03.05;5;Sering;Sedang;Jomblo;Sehat
Laki-laki;23;Sistem Informasi;3;6;0,172916667;3;Sering;Tinggi;Dalam hubungan;Sehat
Perempuan;20;Teknik Informatika;7;5;0,148611111;0;Jarang;Rendah;Dalam hubungan;Risiko Stres
Perempuan;20;Hukum;7;9;0,1375;0;Sering;Tinggi;Dalam hubungan;Sehat
Perempuan;21;Hukum;7;4;0,138194444;0;Jarang;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;25;Kedokteran;5;9;03.23;3;Sering;Tinggi;Dalam hubungan;Sehat
Laki-laki;20;Hukum;7;9;02.25;2;Sering;Sedang;Jomblo;Sehat
Perempuan;20;Sistem Informasi;6;8;03.16;4;Kadang;Sedang;Jomblo;Sehat
Perempuan;19;Kedokteran;2;5;03.33;4;Kadang;Rendah;Jomblo;Risiko Stres
Perempuan;18;Teknik Informatika;2;8;0,144444444;3;Jarang;Rendah;Dalam hubungan;Risiko Stres
Perempuan;21;Psikologi;3;9;0,188194444;0;Kadang;Sedang;Jomblo;Sehat
Perempuan;24;Desain Komunikasi Visual;2;4;03.22;4;Sering;Tinggi;Dalam hubungan;Sehat
Perempuan;21;Desain Komunikasi Visual;1;9;02.44;3;Jarang;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;21;Sistem Informasi;3;6;0,15;5;Jarang;Sedang;Jomblo;Sehat
Laki-laki;24;Sistem Informasi;2;9;03.35;1;Jarang;Rendah;Dalam hubungan;Sehat
Laki-laki;19;Kedokteran;1;8;0,128472222;4;Sering;Sedang;Jomblo;Sehat
Perempuan;25;Teknik Informatika;5;5;02.16;1;Kadang;Sedang;Dalam hubungan;Sehat
Perempuan;23;Ekonomi;2;4;03.17;0;Jarang;Rendah;Jomblo;Risiko Stres
Perempuan;20;Sistem Informasi;1;8;03.09;4;Sering;Rendah;Dalam hubungan;Sehat
Perempuan;18;Ekonomi;4;9;0,150694444;3;Kadang;Sedang;Jomblo;Sehat
Perempuan;22;Ekonomi;6;6;0,18125;2;Kadang;Tinggi;Jomblo;Sehat
Perempuan;25;Hukum;4;7;0,171527778;4;Jarang;Sedang;Dalam hubungan;Sehat
Laki-laki;24;Teknik Informatika;1;6;02.29;4;Sering;Tinggi;Dalam hubungan;Sehat
Laki-laki;23;Desain Komunikasi Visual;3;9;03.42;4;Kadang;Tinggi;Dalam hubungan;Sehat
Perempuan;25;Desain Komunikasi Visual;7;6;0,14375;4;Sering;Tinggi;Jomblo;Sehat
Laki-laki;24;Ekonomi;7;7;02.05;3;Kadang;Rendah;Jomblo;Risiko Stres
Perempuan;20;Desain Komunikasi Visual;7;6;03.37;3;Jarang;Sedang;Dalam hubungan;Risiko Stres
Laki-laki;19;Teknik Informatika;3;7;03.49;2;Jarang;Sedang;Jomblo;Sehat
Perempuan;25;Hukum;2;9;02.36;3;Kadang;Tinggi;Jomblo;Sehat
Perempuan;24;Teknik Informatika;7;7;0,182638889;3;Sering;Tinggi;Dalam hubungan;Sehat
Laki-laki;20;Sistem Informasi;4;8;03.05;0;Kadang;Tinggi;Jomblo;Sehat
Laki-laki;20;Ekonomi;3;8;0,185416667;0;Sering;Sedang;Jomblo;Sehat
Perempuan;19;Teknik Informatika;3;7;0,127083333;1;Kadang;Tinggi;Jomblo;Sehat
Perempuan;21;Desain Komunikasi Visual;7;4;0,186111111;2;Jarang;Sedang;Dalam hubungan;Risiko Stres
Laki-laki;25;Psikologi;4;5;0,134722222;0;Sering;Sedang;Jomblo;Sehat
Laki-laki;25;Teknik Informatika;5;4;02.11;2;Jarang;Rendah;Dalam hubungan;Risiko Stres
Perempuan;21;Ekonomi;3;7;03.53;2;Sering;Tinggi;Jomblo;Sehat
Laki-laki;18;Hukum;7;5;03.41;4;Kadang;Tinggi;Jomblo;Risiko Stres
Perempuan;18;Desain Komunikasi Visual;6;8;03.02;5;Jarang;Tinggi;Jomblo;Risiko Stres
Perempuan;21;Hukum;1;5;0,151388889;5;Jarang;Rendah;Jomblo;Risiko Stres
Perempuan;23;Ekonomi;2;7;02.06;5;Sering;Tinggi;Jomblo;Sehat
Perempuan;22;Desain Komunikasi Visual;3;8;03.25;2;Sering;Sedang;Dalam hubungan;Sehat
Laki-laki;20;Sistem Informasi;6;5;0,140972222;4;Sering;Tinggi;Jomblo;Risiko Stres
Laki-laki;22;Desain Komunikasi Visual;6;5;03.12;1;Jarang;Sedang;Jomblo;Risiko Stres
Laki-laki;20;Sistem Informasi;3;4;0,143055556;1;Kadang;Sedang;Jomblo;Sehat
Laki-laki;21;Hukum;5;5;0,189583333;5;Sering;Sedang;Jomblo;Sehat
Laki-laki;18;Hukum;1;9;03.21;1;Kadang;Sedang;Dalam hubungan;Sehat
Laki-laki;23;Ekonomi;2;7;03.05;4;Sering;Tinggi;Jomblo;Sehat
Laki-laki;18;Sistem Informasi;3;3;0,185416667;5;Kadang;Rendah;Jomblo;Risiko Stres
Perempuan;22;Hukum;2;3;03.18;4;Sering;Rendah;Jomblo;Risiko Stres
Laki-laki;18;Sistem Informasi;4;3;02.02;1;Kadang;Sedang;Jomblo;Sehat
Laki-laki;21;Hukum;6;7;02.07;5;Jarang;Tinggi;Dalam hubungan;Risiko Stres
Perempuan;23;Desain Komunikasi Visual;6;3;03.04;4;Sering;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;22;Teknik Informatika;3;4;02.56;3;Sering;Tinggi;Jomblo;Risiko Stres
Laki-laki;23;Psikologi;3;7;03.16;3;Jarang;Rendah;Jomblo;Risiko Stres
Perempuan;25;Desain Komunikasi Visual;4;9;02.04;4;Sering;Sedang;Jomblo;Sehat
Laki-laki;20;Kedokteran;5;8;02.54;4;Sering;Sedang;Jomblo;Sehat
Laki-laki;18;Teknik Informatika;3;9;03.01;0;Jarang;Sedang;Jomblo;Sehat
Laki-laki;23;Kedokteran;6;7;0,190972222;0;Jarang;Rendah;Dalam hubungan;Risiko Stres
Perempuan;19;Hukum;2;7;03.23;2;Kadang;Tinggi;Dalam hubungan;Sehat
Laki-laki;25;Psikologi;1;5;0,185416667;5;Jarang;Sedang;Jomblo;Risiko Stres
Laki-laki;18;Psikologi;7;5;0,188888889;2;Jarang;Tinggi;Jomblo;Risiko Stres
Perempuan;20;Hukum;2;5;02.42;2;Sering;Tinggi;Jomblo;Sehat
Laki-laki;23;Hukum;5;6;0,126388889;1;Jarang;Sedang;Dalam hubungan;Sehat
Perempuan;22;Sistem Informasi;1;4;03.54;3;Sering;Rendah;Jomblo;Risiko Stres
Perempuan;20;Hukum;2;7;0,175694444;1;Jarang;Sedang;Jomblo;Sehat
Laki-laki;19;Ekonomi;2;9;03.04;5;Jarang;Sedang;Dalam hubungan;Sehat
Perempuan;23;Hukum;4;7;0,19375;4;Kadang;Rendah;Dalam hubungan;Sehat
Perempuan;24;Ekonomi;7;5;02.02;0;Jarang;Tinggi;Jomblo;Risiko Stres
Laki-laki;24;Hukum;5;7;02.06;5;Jarang;Rendah;Jomblo;Risiko Stres
Perempuan;21;Sistem Informasi;6;8;03.25;4;Sering;Rendah;Jomblo;Risiko Stres
Perempuan;18;Ekonomi;4;7;0,148611111;5;Sering;Sedang;Jomblo;Sehat
Laki-laki;22;Teknik Informatika;1;9;02.23;4;Kadang;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;21;Ekonomi;7;3;0,134722222;0;Jarang;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;23;Desain Komunikasi Visual;6;8;02.05;4;Sering;Rendah;Jomblo;Risiko Stres
Perempuan;24;Sistem Informasi;4;8;03.29;2;Jarang;Tinggi;Dalam hubungan;Sehat
Laki-laki;24;Kedokteran;7;7;0,179861111;5;Kadang;Tinggi;Jomblo;Sehat
Perempuan;24;Ekonomi;5;6;0,178472222;0;Sering;Sedang;Dalam hubungan;Sehat
Perempuan;23;Desain Komunikasi Visual;3;5;03.04;4;Sering;Sedang;Jomblo;Sehat
Perempuan;24;Desain Komunikasi Visual;3;4;0,147916667;2;Kadang;Tinggi;Jomblo;Sehat
Perempuan;20;Desain Komunikasi Visual;1;4;03.02;2;Jarang;Rendah;Dalam hubungan;Risiko Stres
Perempuan;25;Hukum;3;3;02.27;3;Sering;Sedang;Dalam hubungan;Risiko Stres
Perempuan;23;Desain Komunikasi Visual;4;4;0,130555556;2;Sering;Sedang;Dalam hubungan;Sehat
Perempuan;22;Hukum;1;4;02.38;1;Kadang;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;25;Kedokteran;6;5;0,169444444;0;Kadang;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;21;Sistem Informasi;5;5;0,182638889;0;Kadang;Rendah;Jomblo;Sehat
Perempuan;22;Psikologi;1;6;03.07;0;Jarang;Rendah;Jomblo;Sehat
Perempuan;25;Hukum;6;9;03.46;4;Jarang;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;19;Desain Komunikasi Visual;1;3;02.24;5;Jarang;Tinggi;Jomblo;Risiko Stres
Perempuan;24;Desain Komunikasi Visual;2;4;03.22;4;Kadang;Rendah;Jomblo;Risiko Stres
Laki-laki;19;Teknik Informatika;2;6;03.41;1;Sering;Sedang;Jomblo;Sehat
Laki-laki;18;Desain Komunikasi Visual;1;3;0,146527778;5;Jarang;Tinggi;Jomblo;Risiko Stres
Laki-laki;18;Sistem Informasi;7;8;02.49;2;Kadang;Sedang;Dalam hubungan;Sehat
Perempuan;25;Ekonomi;3;4;0,177083333;4;Jarang;Rendah;Jomblo;Risiko Stres
Perempuan;19;Ekonomi;2;4;03.49;5;Sering;Sedang;Jomblo;Sehat
Laki-laki;23;Desain Komunikasi Visual;7;5;03.08;2;Sering;Rendah;Jomblo;Risiko Stres
Laki-laki;22;Teknik Informatika;7;7;0,169444444;5;Kadang;Sedang;Jomblo;Sehat
Laki-laki;19;Hukum;5;3;0,193055556;2;Sering;Sedang;Dalam hubungan;Sehat
Laki-laki;18;Sistem Informasi;6;4;02.38;5;Kadang;Rendah;Jomblo;Risiko Stres
Laki-laki;19;Teknik Informatika;4;3;02.17;4;Kadang;Sedang;Jomblo;Risiko Stres
Perempuan;23;Hukum;2;9;0,129861111;4;Kadang;Tinggi;Jomblo;Sehat
Laki-laki;19;Sistem Informasi;1;6;02.26;1;Kadang;Sedang;Dalam hubungan;Sehat
Perempuan;22;Desain Komunikasi Visual;3;6;03.05;3;Sering;Tinggi;Dalam hubungan;Sehat
Laki-laki;21;Ekonomi;4;7;03.27;0;Sering;Tinggi;Jomblo;Sehat
Perempuan;23;Sistem Informasi;6;4;03.16;4;Sering;Sedang;Jomblo;Risiko Stres
Perempuan;18;Desain Komunikasi Visual;7;9;02.52;4;Sering;Tinggi;Dalam hubungan;Risiko Stres
Perempuan;22;Kedokteran;6;5;0,181944444;2;Kadang;Tinggi;Jomblo;Sehat
Perempuan;19;Psikologi;2;4;02.04;3;Kadang;Sedang;Dalam hubungan;Risiko Stres
Perempuan;19;Sistem Informasi;6;3;02.07;4;Sering;Rendah;Jomblo;Risiko Stres
Perempuan;21;Psikologi;6;8;03.44;5;Jarang;Rendah;Jomblo;Risiko Stres
Laki-laki;18;Sistem Informasi;3;6;03.53;3;Jarang;Tinggi;Dalam hubungan;Sehat
Perempuan;18;Psikologi;7;3;0,140972222;0;Jarang;Tinggi;Jomblo;Risiko Stres
Laki-laki;20;Kedokteran;3;7;02.03;5;Sering;Rendah;Jomblo;Risiko Stres
Perempuan;18;Ekonomi;3;6;03.24;2;Kadang;Tinggi;Jomblo;Sehat
Perempuan;21;Hukum;1;5;02.13;1;Kadang;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;24;Psikologi;6;6;02.22;5;Jarang;Sedang;Dalam hubungan;Risiko Stres
Perempuan;20;Kedokteran;6;8;03.03;0;Jarang;Tinggi;Jomblo;Sehat
Laki-laki;20;Psikologi;6;9;0,126388889;5;Kadang;Sedang;Jomblo;Risiko Stres
Laki-laki;19;Ekonomi;5;4;02.07;3;Jarang;Rendah;Jomblo;Risiko Stres
Laki-laki;19;Psikologi;3;8;0,150694444;3;Jarang;Rendah;Jomblo;Risiko Stres
Laki-laki;18;Kedokteran;4;9;0,191666667;0;Kadang;Sedang;Dalam hubungan;Sehat
Perempuan;20;Desain Komunikasi Visual;2;8;0,189583333;3;Jarang;Tinggi;Dalam hubungan;Sehat
Perempuan;25;Kedokteran;7;4;0,140972222;5;Jarang;Sedang;Dalam hubungan;Risiko Stres
Laki-laki;19;Teknik Informatika;4;6;02.53;1;Sering;Sedang;Jomblo;Sehat
Perempuan;21;Ekonomi;7;7;0,125694444;5;Jarang;Tinggi;Jomblo;Risiko Stres
Perempuan;25;Desain Komunikasi Visual;1;4;02.54;1;Sering;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;19;Teknik Informatika;1;4;03.06;3;Kadang;Sedang;Jomblo;Sehat
Perempuan;23;Ekonomi;7;9;03.21;5;Sering;Sedang;Jomblo;Sehat
Laki-laki;23;Desain Komunikasi Visual;6;5;0,151388889;3;Kadang;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;19;Psikologi;4;6;0,140277778;1;Sering;Sedang;Jomblo;Sehat
Perempuan;20;Desain Komunikasi Visual;6;4;02.42;3;Sering;Rendah;Dalam hubungan;Risiko Stres
Perempuan;24;Kedokteran;5;7;0,150694444;4;Sering;Tinggi;Jomblo;Sehat
Perempuan;24;Teknik Informatika;1;3;0,130555556;2;Jarang;Rendah;Jomblo;Risiko Stres
Laki-laki;20;Psikologi;1;6;03.08;5;Jarang;Rendah;Jomblo;Risiko Stres
Laki-laki;22;Kedokteran;4;5;03.35;4;Jarang;Sedang;Jomblo;Risiko Stres
Perempuan;24;Ekonomi;1;8;03.27;3;Jarang;Rendah;Jomblo;Risiko Stres
Perempuan;23;Desain Komunikasi Visual;5;4;0,147222222;3;Jarang;Rendah;Dalam hubungan;Risiko Stres
Perempuan;21;Kedokteran;5;7;03.11;2;Sering;Sedang;Dalam hubungan;Sehat
Perempuan;20;Psikologi;5;6;02.57;3;Jarang;Rendah;Jomblo;Risiko Stres
Laki-laki;18;Teknik Informatika;2;7;02.05;2;Kadang;Sedang;Jomblo;Sehat
Perempuan;23;Teknik Informatika;5;7;03.25;5;Sering;Tinggi;Dalam hubungan;Sehat
Laki-laki;21;Desain Komunikasi Visual;5;9;02.51;1;Sering;Rendah;Dalam hubungan;Sehat
Laki-laki;21;Kedokteran;2;8;03.34;2;Kadang;Tinggi;Jomblo;Sehat
Perempuan;20;Psikologi;6;5;03.49;2;Jarang;Rendah;Dalam hubungan;Risiko Stres
Perempuan;21;Sistem Informasi;3;6;0,182638889;4;Kadang;Rendah;Dalam hubungan;Sehat
Perempuan;20;Ekonomi;1;4;0,188888889;3;Sering;Tinggi;Dalam hubungan;Sehat
Laki-laki;24;Ekonomi;5;5;02.02;5;Sering;Tinggi;Jomblo;Risiko Stres
Perempuan;19;Psikologi;1;4;0,193055556;1;Sering;Sedang;Dalam hubungan;Sehat
Perempuan;23;Sistem Informasi;4;3;03.37;0;Kadang;Sedang;Dalam hubungan;Sehat
Laki-laki;22;Teknik Informatika;1;7;03.29;2;Jarang;Tinggi;Dalam hubungan;Sehat
Perempuan;19;Desain Komunikasi Visual;7;3;02.03;0;Sering;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;23;Hukum;6;9;0,175;3;Jarang;Sedang;Jomblo;Risiko Stres
Perempuan;20;Hukum;2;7;02.29;2;Sering;Rendah;Dalam hubungan;Sehat
Laki-laki;23;Desain Komunikasi Visual;1;8;0,171527778;0;Jarang;Sedang;Dalam hubungan;Sehat
Perempuan;24;Psikologi;1;5;02.03;4;Kadang;Sedang;Dalam hubungan;Risiko Stres
Perempuan;20;Sistem Informasi;1;4;03.29;0;Sering;Sedang;Jomblo;Sehat
Laki-laki;19;Sistem Informasi;3;9;0,14375;4;Sering;Tinggi;Jomblo;Sehat
Laki-laki;18;Ekonomi;3;8;02.04;1;Sering;Rendah;Jomblo;Sehat
Perempuan;18;Teknik Informatika;4;4;02.22;3;Kadang;Tinggi;Dalam hubungan;Risiko Stres
Laki-laki;25;Kedokteran;2;5;0,144444444;5;Kadang;Sedang;Dalam hubungan;Sehat
Laki-laki;25;Sistem Informasi;1;6;02.25;0;Jarang;Tinggi;Dalam hubungan;Sehat
Laki-laki;23;Desain Komunikasi Visual;1;9;0,150694444;2;Kadang;Tinggi;Jomblo;Sehat
Laki-laki;18;Kedokteran;1;3;03.25;3;Sering;Tinggi;Dalam hubungan;Sehat
Perempuan;20;Hukum;1;3;0,170138889;0;Jarang;Rendah;Dalam hubungan;Risiko Stres
Perempuan;21;Kedokteran;3;4;03.36;2;Kadang;Tinggi;Jomblo;Sehat
Laki-laki;20;Teknik Informatika;6;4;02.13;2;Jarang;Tinggi;Dalam hubungan;Risiko Stres
Laki-laki;21;Desain Komunikasi Visual;6;4;0,125694444;5;Jarang;Tinggi;Dalam hubungan;Risiko Stres
Laki-laki;19;Teknik Informatika;4;9;02.58;5;Jarang;Tinggi;Jomblo;Risiko Stres
Laki-laki;22;Kedokteran;7;5;0,182638889;2;Sering;Tinggi;Jomblo;Sehat
Perempuan;21;Psikologi;5;6;0,176388889;5;Sering;Tinggi;Jomblo;Sehat
Perempuan;18;Sistem Informasi;2;3;0,134722222;2;Kadang;Tinggi;Jomblo;Sehat
Laki-laki;20;Desain Komunikasi Visual;6;8;02.14;0;Sering;Sedang;Jomblo;Sehat
Laki-laki;19;Psikologi;7;7;0,179861111;1;Jarang;Tinggi;Dalam hubungan;Sehat
Laki-laki;18;Kedokteran;1;9;0,179166667;5;Jarang;Tinggi;Jomblo;Sehat
Perempuan;19;Sistem Informasi;6;9;0,174305556;4;Sering;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;22;Ekonomi;4;5;0,172916667;4;Jarang;Sedang;Dalam hubungan;Risiko Stres
Perempuan;24;Psikologi;5;3;0,15;4;Sering;Tinggi;Jomblo;Sehat
Laki-laki;20;Psikologi;6;6;02.35;1;Jarang;Rendah;Jomblo;Risiko Stres
Perempuan;23;Kedokteran;4;5;0,149305556;2;Kadang;Tinggi;Dalam hubungan;Sehat
Laki-laki;20;Hukum;3;8;0,152083333;2;Kadang;Tinggi;Dalam hubungan;Sehat
Perempuan;25;Kedokteran;5;3;0,151388889;3;Sering;Tinggi;Dalam hubungan;Sehat
Laki-laki;22;Psikologi;4;5;03.08;4;Sering;Tinggi;Jomblo;Sehat
Laki-laki;20;Sistem Informasi;7;3;02.52;4;Sering;Tinggi;Dalam hubungan;Risiko Stres
Laki-laki;25;Hukum;6;3;0,134027778;2;Sering;Rendah;Jomblo;Risiko Stres
Perempuan;23;Kedokteran;3;9;0,14375;4;Sering;Tinggi;Dalam hubungan;Sehat
Laki-laki;21;Desain Komunikasi Visual;7;6;02.26;2;Jarang;Rendah;Dalam hubungan;Risiko Stres
Perempuan;19;Kedokteran;4;9;0,146527778;2;Kadang;Tinggi;Dalam hubungan;Sehat
Perempuan;23;Psikologi;4;7;0,168055556;5;Jarang;Rendah;Jomblo;Risiko Stres
Laki-laki;18;Psikologi;7;6;0,170833333;2;Kadang;Sedang;Jomblo;Sehat
Laki-laki;22;Ekonomi;6;3;0,140277778;0;Jarang;Tinggi;Dalam hubungan;Risiko Stres
Laki-laki;21;Kedokteran;5;5;03.04;0;Jarang;Sedang;Dalam hubungan;Sehat
Perempuan;18;Psikologi;3;8;02.07;0;Jarang;Sedang;Dalam hubungan;Sehat
Laki-laki;18;Desain Komunikasi Visual;1;6;03.35;0;Sering;Sedang;Jomblo;Sehat
Perempuan;22;Teknik Informatika;2;7;0,139583333;1;Kadang;Tinggi;Jomblo;Sehat
Perempuan;21;Hukum;5;3;0,145138889;3;Sering;Sedang;Jomblo;Sehat
Laki-laki;24;Teknik Informatika;3;8;0,177083333;3;Sering;Rendah;Jomblo;Sehat
Laki-laki;18;Hukum;7;6;0,147222222;2;Jarang;Tinggi;Jomblo;Sehat
Laki-laki;18;Desain Komunikasi Visual;4;9;02.04;4;Kadang;Sedang;Dalam hubungan;Sehat
Laki-laki;21;Kedokteran;7;9;02.45;0;Kadang;Tinggi;Dalam hubungan;Sehat
Laki-laki;20;Ekonomi;3;6;0,149305556;3;Kadang;Sedang;Dalam hubungan;Sehat
Laki-laki;18;Psikologi;7;6;0,142361111;3;Kadang;Rendah;Jomblo;Risiko Stres
Perempuan;19;Psikologi;7;6;0,175;0;Sering;Tinggi;Dalam hubungan;Sehat
Perempuan;21;Psikologi;2;8;03.08;1;Sering;Tinggi;Jomblo;Sehat
Perempuan;18;Kedokteran;6;9;03.38;1;Kadang;Sedang;Jomblo;Sehat
Laki-laki;22;Hukum;2;5;0,148611111;3;Sering;Rendah;Dalam hubungan;Risiko Stres
Perempuan;23;Desain Komunikasi Visual;1;7;0,144444444;1;Kadang;Tinggi;Dalam hubungan;Sehat
Perempuan;19;Psikologi;1;7;0,145138889;5;Sering;Sedang;Jomblo;Sehat
Perempuan;25;Teknik Informatika;2;3;0,140277778;0;Jarang;Rendah;Jomblo;Risiko Stres
Perempuan;25;Psikologi;5;4;03.08;3;Jarang;Rendah;Dalam hubungan;Risiko Stres
Perempuan;23;Kedokteran;5;5;02.05;0;Kadang;Rendah;Jomblo;Risiko Stres
Laki-laki;25;Desain Komunikasi Visual;7;9;0,179166667;1;Kadang;Rendah;Jomblo;Sehat
Laki-laki;23;Ekonomi;7;3;0,129861111;0;Sering;Tinggi;Jomblo;Risiko Stres
Perempuan;18;Desain Komunikasi Visual;4;3;02.03;1;Kadang;Tinggi;Dalam hubungan;Sehat
Perempuan;19;Teknik Informatika;1;6;02.19;1;Kadang;Rendah;Jomblo;Sehat
Perempuan;19;Psikologi;4;4;02.03;0;Sering;Sedang;Jomblo;Sehat
Laki-laki;20;Psikologi;1;9;0,142361111;1;Kadang;Sedang;Jomblo;Sehat
Laki-laki;23;Sistem Informasi;2;4;02.38;5;Kadang;Rendah;Jomblo;Risiko Stres
Perempuan;19;Hukum;5;5;02.04;2;Jarang;Rendah;Jomblo;Risiko Stres
Laki-laki;20;Teknik Informatika;7;4;03.04;0;Jarang;Sedang;Jomblo;Risiko Stres
Laki-laki;21;Sistem Informasi;5;3;03.36;2;Jarang;Rendah;Jomblo;Risiko Stres
Perempuan;20;Desain Komunikasi Visual;2;4;02.17;0;Kadang;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;22;Ekonomi;4;4;0,147222222;1;Sering;Tinggi;Dalam hubungan;Sehat
Laki-laki;24;Hukum;4;7;03.49;1;Jarang;Tinggi;Dalam hubungan;Sehat
Perempuan;18;Teknik Informatika;3;9;0,192361111;3;Kadang;Rendah;Jomblo;Sehat
Laki-laki;21;Psikologi;7;9;03.33;5;Jarang;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;24;Desain Komunikasi Visual;7;3;02.49;3;Sering;Tinggi;Dalam hubungan;Risiko Stres
Perempuan;24;Teknik Informatika;7;8;03.43;2;Sering;Rendah;Jomblo;Sehat
Laki-laki;21;Psikologi;1;4;03.02;1;Sering;Tinggi;Dalam hubungan;Sehat
Laki-laki;22;Hukum;4;4;02.42;3;Sering;Tinggi;Jomblo;Risiko Stres
Perempuan;20;Psikologi;2;6;03.07;1;Sering;Sedang;Jomblo;Sehat
Perempuan;18;Ekonomi;4;9;0,142361111;0;Sering;Tinggi;Jomblo;Sehat
Perempuan;20;Desain Komunikasi Visual;5;4;0,188888889;3;Kadang;Sedang;Dalam hubungan;Sehat
Laki-laki;19;Kedokteran;1;9;03.45;2;Jarang;Sedang;Jomblo;Sehat
Perempuan;20;Psikologi;7;4;03.29;3;Sering;Tinggi;Dalam hubungan;Risiko Stres
Laki-laki;25;Ekonomi;6;7;03.46;1;Jarang;Rendah;Jomblo;Risiko Stres
Perempuan;21;Kedokteran;3;3;0,15;4;Jarang;Tinggi;Jomblo;Risiko Stres
Laki-laki;18;Desain Komunikasi Visual;1;9;03.01;4;Kadang;Sedang;Dalam hubungan;Sehat
Perempuan;20;Hukum;5;5;03.07;5;Sering;Tinggi;Jomblo;Sehat
Perempuan;18;Hukum;7;3;03.36;1;Sering;Tinggi;Dalam hubungan;Sehat
Perempuan;18;Desain Komunikasi Visual;5;6;0,179861111;0;Kadang;Sedang;Jomblo;Sehat
Perempuan;19;Desain Komunikasi Visual;5;3;0,179166667;3;Kadang;Tinggi;Jomblo;Sehat
